,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
79,203953,"Parker, Jabari",Jabari Parker,1,2014,2017,jabari_parker,1610612749,Milwaukee,Bucks,MIL,bucks,Y
80,203934,"Patterson, Lamar",Lamar Patterson,0,2015,2016,lamar_patterson,0,,,,,Y
81,1626166,"Payne, Cameron",Cameron Payne,1,2015,2017,cameron_payne,1610612741,Chicago,Bulls,CHI,bulls,Y
82,1627780,"Payton II, Gary",Gary Payton II,1,2016,2017,gary_payton ii,1610612749,Milwaukee,Bucks,MIL,bucks,Y
83,201593,"Pekovic, Nikola",Nikola Pekovic,1,2010,2016,nikola_pekovic,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
84,1718,"Pierce, Paul",Paul Pierce,1,1998,2016,paul_pierce,1610612746,LA,Clippers,LAC,clippers,Y
85,1627850,"Plumlee, Marshall",Marshall Plumlee,1,2016,2016,marshall_plumlee,1610612752,New York,Knicks,NYK,knicks,Y
86,101179,"Price, Ronnie",Ronnie Price,1,2005,2016,ronnie_price,1610612756,Phoenix,Suns,PHX,suns,Y
87,1627817,"Quarterman, Tim",Tim Quarterman,1,2016,2016,tim_quarterman,1610612757,Portland,Trail Blazers,POR,blazers,Y
88,1626184,"Randle, Chasson",Chasson Randle,1,2016,2016,chasson_randle,1610612752,New York,Knicks,NYK,knicks,Y
89,203148,"Roberts, Brian",Brian Roberts,1,2012,2016,brian_roberts,1610612766,Charlotte,Hornets,CHA,hornets,Y
90,203080,"Robinson, Thomas",Thomas Robinson,1,2012,2016,thomas_robinson,1610612747,Los Angeles,Lakers,LAL,lakers,Y
91,203922,"Robinson III, Glenn",Glenn Robinson III,1,2014,2017,glenn_robinson iii,1610612754,Indiana,Pacers,IND,pacers,Y
92,200771,"Rodriguez, Sergio",Sergio Rodriguez,1,2006,2016,sergio_rodriguez,1610612755,Philadelphia,76ers,PHI,sixers,Y
93,204014,"Rudez, Damjan",Damjan Rudez,1,2014,2016,damjan_rudez,1610612753,Orlando,Magic,ORL,magic,Y
